r_min,r_max,r_center,A_UMD_original,A_SD_antes,A_SD_despues,sigma_boot_UMD,sigma_boot_SD_antes,sigma_boot_SD_despues,delta_antes_menos_UMD,delta_antes_low95,delta_antes_high95,delta_antes_sim_low95,delta_antes_sim_high95,delta_despues_menos_UMD,delta_despues_low95,delta_despues_high95
150,300,225.0,0.06195703357813728,0.03314067920966792,0.03314067920966792,0.016496627791597898,0.01682063792405675,0.01682063792405675,-0.02881635436846936,-0.041028147641191094,-0.016374711184516003,-0.04545387481790411,-0.012178833919034612,-0.02881635436846936,-0.041028147641191094,-0.016374711184516003
300,450,375.0,0.09326190497799794,0.06016948777375766,0.06016948777375766,0.00894200662117329,0.00917819901977701,0.00917819901977701,-0.033092417204240276,-0.04736366309947603,-0.019648716656862762,-0.05223076943653008,-0.013954064971950474,-0.033092417204240276,-0.04736366309947603,-0.019648716656862762
450,600,525.0,0.085300585425241,0.058826671816419734,0.058826671816419734,0.009395697235084238,0.0097957473869176,0.0097957473869176,-0.02647391360882126,-0.04270090555860448,-0.009142525724792645,-0.0491948557458791,-0.0037529714717634208,-0.02647391360882126,-0.04270090555860448,-0.009142525724792645
600,750,675.0,0.11471848080705424,0.06045154884850125,0.05933147539716632,0.008764986715373685,0.009004022746087949,0.009026146382865113,-0.05426693195855299,-0.07417019710266332,-0.0347286851198558,-0.0811417421012392,-0.02739212181586679,-0.05538700540988792,-0.07527297939989691,-0.03550328763498817
750,900,825.0,0.11478070078247167,0.05756065452960935,0.04021443042266511,0.011006175475971084,0.010691729006147056,0.010822073593478051,-0.05722004625286232,-0.08421792128999807,-0.030185807330590564,-0.092712599873347,-0.021727492632377637,-0.07456627035980656,-0.10095920404357904,-0.04806455141267311
900,1050,975.0,0.09409744766404861,0.06601985695273259,-0.01579992565044681,0.013852006053237016,0.012017494687018376,0.011894690388337051,-0.02807759071131602,-0.06066160096559879,0.0062570457816352116,-0.07286729268915425,0.01671211126652221,-0.10989737331449542,-0.14210838252844274,-0.07918902736666271
1050,1200,1125.0,0.10566522805425729,0.06825525347088301,-0.06412207456251638,0.01898013432919203,0.013265730397295405,0.01393060617524993,-0.03740997458337428,-0.08035834132574422,0.005044134983411211,-0.0971122080494655,0.02229225888271695,-0.16978730261677366,-0.21133516591297236,-0.1257416299060023
1200,1350,1275.0,0.08159722791326351,0.06886682694668678,-0.12399013051395794,0.0343698306401132,0.015682400928115528,0.018569803476739772,-0.012730400966576738,-0.0896726076577414,0.05549185458501617,-0.11097825221848714,0.08551745028533367,-0.20558735842722145,-0.285016052956716,-0.13074523892960233
