UMD_original_r225,UMD_original_r375,UMD_original_r525,UMD_original_r675,UMD_original_r825,UMD_original_r975,UMD_original_r1125,UMD_original_r1275,SD_antes_r225,SD_antes_r375,SD_antes_r525,SD_antes_r675,SD_antes_r825,SD_antes_r975,SD_antes_r1125,SD_antes_r1275,SD_despues_r225,SD_despues_r375,SD_despues_r525,SD_despues_r675,SD_despues_r825,SD_despues_r975,SD_despues_r1125,SD_despues_r1275
0.05224641730115952,0.08711269681269747,0.08497313348531252,0.10670382456689145,0.1151924443550455,0.08726372893724789,0.10765012988963339,0.07017169003030237,0.03264086511311742,0.05511361719875185,0.06542495861403315,0.059864025501958205,0.061479018880412364,0.057797944548284845,0.06652339472227398,0.07283762284900307,0.03264086511311742,0.05511361719875185,0.06542495861403315,0.05821663729379749,0.04307396689200779,-0.02641161040400617,-0.060395286067223296,-0.12591381670674331
0.06902583306880493,0.0816528509379916,0.09646978500452838,0.10026153325024724,0.10903614620452308,0.09147070698523013,0.14147216960065742,0.055467623624727375,0.048371690300211705,0.049814939172195205,0.060390043328661006,0.0451404286795682,0.056559072708476626,0.08679413954896362,0.09376995893622253,0.08462189681509372,0.048371690300211705,0.049814939172195205,0.060390043328661006,0.044018848448643184,0.0395319124060046,0.005786853292058977,-0.029402372256931316,-0.11317009870782804
0.05257002043439167,0.08621097020327192,0.08972022460463262,0.11378612929288504,0.12069035556533451,0.11065579869711918,0.10282020429443493,0.12010789428891913,0.027537274435446565,0.04762343624314991,0.07361350507015077,0.0557560551758219,0.056895078076233736,0.05144586926801357,0.07608702532182152,0.08842986629396073,0.027537274435446565,0.04762343624314991,0.07361350507015077,0.054648253736833234,0.04088075299523223,-0.02613286460372475,-0.03675718448195802,-0.09270279270045302
0.07741646151629628,0.09715431139162088,0.08267974056835468,0.10378160520208535,0.13492797754228208,0.13268074676465422,0.09911631717043229,0.05600786058309744,0.048891909443119774,0.07102670558589344,0.05074190140422849,0.05292816400437786,0.08380105793177474,0.09112000965650342,0.06741304040451318,0.10182305271406679,0.048891909443119774,0.07102670558589344,0.05074190140422849,0.0525239616379311,0.06736255357541607,0.010789191782035072,-0.07313227670254287,-0.12827968966186537
0.041524274781914394,0.10499367038832881,0.08794962431245562,0.11347311688019712,0.10605959457308184,0.0944118935044876,0.07456196062639837,0.12507688210275947,0.02081048724640299,0.06306047674919371,0.04746808604635304,0.06537321308410908,0.05694149101291162,0.07763019685710935,0.06798330591048025,0.07078637393176845,0.02081048724640299,0.06306047674919371,0.04746808604635304,0.06404794391896514,0.041347883564217515,0.00854204662567889,-0.060732356396233075,-0.14647764428964444
0.028113391750965683,0.10400929524356589,0.06918817612017636,0.1226429307049826,0.10363442654123221,0.09215285618459276,0.10786792887888898,0.04687545769942811,0.008044148871435158,0.07556657180498619,0.05411855170114382,0.07100169526013958,0.05805255042902331,0.06823266178074444,0.038995121466049054,0.05678546787693942,0.008044148871435158,0.07556657180498619,0.05411855170114382,0.06963585968115216,0.03957200899403677,-0.01861387341207283,-0.10882526683650824,-0.13935244084622964
0.08186726960534337,0.0799457991695953,0.09284550051392582,0.12188145495951361,0.09191215170994985,0.10488896643240507,0.11136874025546929,0.1179582615284183,0.04903259064338052,0.05694999306771116,0.04813964246615533,0.05513356283130373,0.03462273343612192,0.05770415779606888,0.04786026898317007,0.050073795634377534,0.04903259064338052,0.05694999306771116,0.04813964246615533,0.05419985962027023,0.01690407729037706,-0.02762093201908735,-0.07039307724448984,-0.1293094597252627
0.08893559854517066,0.09528994905751134,0.06656231058030143,0.11286276448933216,0.1000090912643807,0.0887737056262549,0.11799300867146992,0.163947201208005,0.057842326406783225,0.06120779723288551,0.04341802014369361,0.047998215116076125,0.07743182614602911,0.06885040186766456,0.0663730346261111,0.06298339622156711,0.057842326406783225,0.06120779723288551,0.04341802014369361,0.046552632331823766,0.059939813803290665,-0.013577298859532483,-0.0554431180370372,-0.12764408025754234
0.04513245995466279,0.1010906767591613,0.09537838247714853,0.10880051426647053,0.12456145787167776,0.09254044927815541,0.12144306641789633,0.017051056231464554,0.016529680900046875,0.06352367603929665,0.05640520543331904,0.06211338569945536,0.055734380151055064,0.057840452525743186,0.08074559378480867,0.06326310890030923,0.016529680900046875,0.06352367603929665,0.05640520543331904,0.06151666204667683,0.04301154681964519,-0.01760633903391504,-0.05562714822360118,-0.13207098152141045
0.08162462406988485,0.08977013367823566,0.07913852639802986,0.10730643032561354,0.11593851064883265,0.10724962462314491,0.09643991865647508,0.17000450039215506,0.04579239336283823,0.07415703068488785,0.049867935385477145,0.06140922689552075,0.04647714852457952,0.06526504221756677,0.0773722081643853,0.08333518923850787,0.04579239336283823,0.07415703068488785,0.049867935385477145,0.060405224742917506,0.027760143175104883,-0.025444060949259984,-0.047315276377225865,-0.1011725433624903
0.06397926247455846,0.0928113144656375,0.08006859048509772,0.1025068510974546,0.11251449465503113,0.10280499384251478,0.12480969944476211,0.09007955969844156,0.03235360820255437,0.05560957573197855,0.057108808145426564,0.05686956757927435,0.04830608612702258,0.06209704139463558,0.03507598997824123,0.07628400863091178,0.03235360820255437,0.05560957573197855,0.057108808145426564,0.055281178208705616,0.03295778680809786,-0.019246944172173493,-0.08540533693655604,-0.11392839526635527
0.04800126768222428,0.08908960957976461,0.09054763040158506,0.12581327441746037,0.10704907876928381,0.10295836419254449,0.13590948881016565,0.07956454975420771,0.020957295880363977,0.06470151028355965,0.05889070630356209,0.05903482186655916,0.04016194901775205,0.06309767694789575,0.07767057263877866,0.061279586486354634,0.020957295880363977,0.06470151028355965,0.05889070630356209,0.05799288916137899,0.02541827088012388,-0.021048538716939062,-0.05514186361416593,-0.1442404873688382
0.051664659391879676,0.10153313430526889,0.07989950117995191,0.1128950386148991,0.10302115190607924,0.08529438479124325,0.07765978941879702,0.166895395176754,0.011611271881766656,0.0567103323361602,0.0602041010731966,0.07164308085719055,0.053084527439561685,0.0756777622333167,0.057849114533509154,0.07651300817751105,0.011611271881766656,0.0567103323361602,0.0602041010731966,0.07028468955031499,0.0350987227433573,-0.008836229865716081,-0.08017207845462018,-0.1338293971051596
0.04223675086288435,0.09357640224669408,0.09643058327402755,0.1103477083831109,0.09884075290793477,0.08041988666653059,0.09376082338005116,0.03633893597067337,0.013375385647930175,0.049462749328984264,0.0676997249260715,0.058379922004756814,0.05938341363379831,0.07899734897221859,0.07558587154045557,0.06299455315987185,0.013375385647930175,0.049462749328984264,0.0676997249260715,0.05701993301151505,0.040592593769756054,-0.0034563175460369765,-0.05640661467455202,-0.14306828241919187
