phi_deg,n_all,n_kept,mu_sum_all,mu_sum_kept,mean_all,mean_kept,epsilon,epsilon_N,enrichment,mean_from_identity
-165.00000000000003,2303,562,1608,828,0.6982197134172818,1.4733096085409252,0.24402952670429873,0.5149253731343284,2.1100945450682533,1.4733096085409256
-135.0,2351,650,1813,980,0.7711612079965972,1.5076923076923077,0.276478094427903,0.5405405405405406,1.9550935550935553,1.5076923076923079
-105.00000000000001,2417,905,2005,1299,0.8295407529995863,1.4353591160220995,0.3744311129499379,0.6478802992518703,1.7303057273942217,1.4353591160220995
-75.0,2363,1049,1981,1446,0.8383410918324165,1.3784556720686367,0.44392721117223866,0.7299343765774862,1.6442659026240227,1.378455672068637
-45.000000000000014,2366,1185,1986,1535,0.8393913778529163,1.2953586497890295,0.5008453085376162,0.7729103726082578,1.5432117650558126,1.2953586497890295
-15.000000000000009,2269,1175,1865,1489,0.8219479947113266,1.2672340425531914,0.5178492728074041,0.7983914209115281,1.5417447949346872,1.2672340425531916
14.999999999999996,2292,1197,1971,1567,0.8599476439790575,1.3091060985797829,0.5222513089005235,0.7950279046169457,1.522309070494603,1.3091060985797829
44.999999999999986,2326,1182,2023,1592,0.8697334479793637,1.3468697123519457,0.5081685296646603,0.786950074147306,1.5486005689227023,1.3468697123519462
74.99999999999999,2362,1051,2005,1464,0.8488569009314141,1.3929590865842054,0.4449618966977138,0.7301745635910224,1.6409822256917173,1.3929590865842054
104.99999999999999,2338,864,1884,1254,0.8058169375534645,1.4513888888888888,0.369546621043627,0.6656050955414012,1.8011397145553196,1.4513888888888888
134.99999999999997,2361,724,1873,1081,0.7933079203727235,1.4930939226519337,0.30664972469292673,0.5771489588894821,1.8821114529531318,1.493093922651934
165.0,2282,560,1740,919,0.7624890446976337,1.6410714285714285,0.24539877300613497,0.5281609195402299,2.152255747126437,1.6410714285714287
