muestra,filas,A1
"Estaciones simuladas disponibles, antes de HasStation",28030,0.06763789315285965
"Mismas estaciones, conservando HasStation=True",11104,-0.09452701645838728
"Tu parquet, SD sin duplicación por módulo",11104,-0.09452701645838728
