source,event_id,sdId,counterId,moduleId,r,phi,theta,logE,mu,area,nsc,nchannels,has_rec
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run010.root,Library_Prague_Santos_Yushkov:Run_10008:Shower_1:Use_1,4003,104003,1,517.1773941972792,-2.9146120050177413,38.09215283136329,17.507049245155446,3,10.496,4,4,1
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run010.root,Library_Prague_Santos_Yushkov:Run_10008:Shower_1:Use_1,4003,104003,2,517.1773941972792,-2.9146120050177413,38.09215283136329,17.507049245155446,0,10.496,1,1,1
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run010.root,Library_Prague_Santos_Yushkov:Run_10008:Shower_1:Use_1,4003,104003,3,517.1773941972792,-2.9146120050177413,38.09215283136329,17.507049245155446,1,10.496,1,1,1
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run010.root,Library_Prague_Santos_Yushkov:Run_10008:Shower_1:Use_1,4007,104007,1,553.4533716301676,0.5508063426248048,38.09215283136329,17.507049245155446,1,10.496,3,3,1
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run010.root,Library_Prague_Santos_Yushkov:Run_10008:Shower_1:Use_1,4007,104007,2,553.4533716301676,0.5508063426248048,38.09215283136329,17.507049245155446,1,10.496,4,4,1
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run010.root,Library_Prague_Santos_Yushkov:Run_10008:Shower_1:Use_1,4007,104007,3,553.4533716301676,0.5508063426248048,38.09215283136329,17.507049245155446,0,10.496,7,7,1
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run010.root,Library_Prague_Santos_Yushkov:Run_10008:Shower_1:Use_1,4004,104004,2,910.8897444533977,2.427599125658736,38.09215283136329,17.507049245155446,1,10.496,4,4,1
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run010.root,Library_Prague_Santos_Yushkov:Run_10008:Shower_1:Use_1,4004,104004,3,910.8897444533977,2.427599125658736,38.09215283136329,17.507049245155446,1,10.496,1,1,1
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run010.root,Library_Prague_Santos_Yushkov:Run_10008:Shower_1:Use_1,4017,104017,1,1213.6669866264535,0.7748928879930931,38.09215283136329,17.507049245155446,2,10.496,4,4,1
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run010.root,Library_Prague_Santos_Yushkov:Run_10008:Shower_1:Use_1,4019,104019,1,780.8006076970688,-0.5728583109066642,38.09215283136329,17.507049245155446,1,10.496,1,1,1
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run010.root,Library_Prague_Santos_Yushkov:Run_10008:Shower_1:Use_1,4019,104019,3,780.8006076970688,-0.5728583109066642,38.09215283136329,17.507049245155446,1,10.496,1,1,1
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run010.root,Library_Prague_Santos_Yushkov:Run_10008:Shower_1:Use_1,4006,104006,1,1042.8481450025652,1.2918873622319738,38.09215283136329,17.507049245155446,1,10.496,1,1,1
