bin,eps,mu_eff,mu_all,mu_selected,zero_mu_all,zero_mu_selected,EM_all,EM_selected
0,0.24402952670429873,0.5149253731343284,0.6982197134172818,1.4733096085409252,0.5167173252279635,0.1797153024911032,16.726877985236648,27.268683274021353
1,0.276478094427903,0.5405405405405406,0.7711612079965972,1.5076923076923077,0.4831986388770736,0.16615384615384615,19.93789876648235,31.686153846153847
2,0.3744311129499379,0.6478802992518703,0.8295407529995863,1.4353591160220995,0.462970624741415,0.2011049723756906,27.28671907323128,39.31160220994475
3,0.44392721117223866,0.7299343765774862,0.8383410918324165,1.3784556720686367,0.46085484553533645,0.21258341277407056,36.33008887008041,50.08198284080076
4,0.5008453085376162,0.7729103726082578,0.8393913778529163,1.2953586497890295,0.4556213017751479,0.23544303797468355,43.875739644970416,58.29873417721519
5,0.5178492728074041,0.7983914209115281,0.8219479947113266,1.2672340425531914,0.46760687527545175,0.24,48.64962538563244,63.026382978723404
6,0.5222513089005235,0.7950279046169457,0.8599476439790575,1.3091060985797829,0.44415357766143104,0.22556390977443608,48.41884816753927,62.707602339181285
7,0.5081685296646603,0.786950074147306,0.8697334479793637,1.3468697123519457,0.4544282029234738,0.22588832487309646,44.1938950988822,57.74027072758037
8,0.4449618966977138,0.7301745635910224,0.8488569009314141,1.3929590865842054,0.45639288738357325,0.2093244529019981,37.2502116850127,51.4919124643197
9,0.369546621043627,0.6656050955414012,0.8058169375534645,1.4513888888888888,0.481180496150556,0.2013888888888889,27.412318220701454,39.81018518518518
10,0.30664972469292673,0.5771489588894821,0.7933079203727235,1.4930939226519337,0.4743752647183397,0.18646408839779005,20.382041507835662,31.502762430939228
11,0.24539877300613497,0.5281609195402299,0.7624890446976337,1.6410714285714285,0.4956178790534619,0.13214285714285715,16.320333041191937,26.24642857142857
