lo,hi,sample,variable,weighted,A,error,n
650,950,SDsignal_positive,nMuones_MC,False,0.1063329036847441,0.007402656409566274,51750
650,950,SDsignal_positive,sd_nMuons_MC,True,0.03937995583701328,0.004588466554421384,51750
650,950,SDsignal_positive,sd_nMuons_MC,False,0.03972384305176951,0.005194170023607905,51750
650,950,SDsignal_positive,sd_nEM_MC,True,0.4518851164832161,0.0032302068221764604,51750
650,950,SDsignal_positive,sd_nEM_MC,False,0.45781104357678365,0.007386122970380005,51750
650,950,SDsignal_positive,sdSignal_REC,True,0.106965637336805,0.0038678749035787217,51750
650,950,SDsignal_positive,sdSignal_REC,False,0.10729466262334839,0.0038241340621164217,51750
1050,1400,modules,nMuones_MC,True,0.06823351632430517,0.015061655284907988,33312
1050,1400,modules,nMuones_MC,False,0.06697509602491905,0.008896877503325063,33312
1050,1400,modules,sd_nMuons_MC,True,-0.09307970225588567,0.006072554797768614,33312
1050,1400,modules,sd_nMuons_MC,False,-0.09452701645838728,0.011419572408991746,33312
1050,1400,modules,sd_nEM_MC,True,0.419457544460867,0.003499661007373449,33312
1050,1400,modules,sd_nEM_MC,False,0.41893724961632667,0.005823455884685908,33312
1050,1400,modules,sdSignal_REC,True,-0.05657534550271945,0.004564495863433241,33312
1050,1400,modules,sdSignal_REC,False,-0.060794018009440835,0.012755022814156778,33312
1050,1400,station_once,nMuones_MC,True,0.08196247375094272,0.02616105326664222,11104
1050,1400,station_once,nMuones_MC,False,0.07898053308922752,0.017509804307737086,11104
1050,1400,station_once,sd_nMuons_MC,True,-0.09307931400979183,0.010521850068166704,11104
1050,1400,station_once,sd_nMuons_MC,False,-0.09452701645838728,0.011419572408991746,11104
1050,1400,station_once,sd_nEM_MC,True,0.41945750914787394,0.006064394548047854,11104
1050,1400,station_once,sd_nEM_MC,False,0.41893724961632667,0.005823455884685908,11104
1050,1400,station_once,sdSignal_REC,True,-0.056573875546133974,0.007908775873320993,11104
1050,1400,station_once,sdSignal_REC,False,-0.06079401763356012,0.012755022881587126,11104
