source,event_id,sdId,r,phi,theta,logE,mu,em,has_rec,has_md,signal,candidate,silent,has_particles,thinning,weight,inside_rmin
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run010.root,Library_Prague_Santos_Yushkov:Run_10002:Shower_1:Use_1,4072,1789.9764265655547,-0.8283661883727089,35.96841137687995,17.6337439896141,0,5,0,-1,,0,0,1,1.0,1.0,0
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run010.root,Library_Prague_Santos_Yushkov:Run_10002:Shower_1:Use_1,4074,1625.3955690345158,-2.4058165299589414,35.96841137687995,17.6337439896141,0,8,0,-1,,0,0,1,1.0,1.0,0
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run010.root,Library_Prague_Santos_Yushkov:Run_10002:Shower_1:Use_1,4075,1750.599748808167,2.9912877512464284,35.96841137687995,17.6337439896141,0,1,0,-1,,0,0,1,1.0,1.0,0
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run010.root,Library_Prague_Santos_Yushkov:Run_10008:Shower_1:Use_1,4002,280.3280167830594,-1.295908841209236,38.09215283136329,17.507049245155446,16,2560,1,-1,60.605935523493294,1,0,1,1.0,1.0,0
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run010.root,Library_Prague_Santos_Yushkov:Run_10008:Shower_1:Use_1,4001,456.15746908650965,1.8107993715500548,38.09215283136329,17.507049245155446,11,541,1,-1,18.689687482442626,1,0,1,1.0,1.0,0
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run010.root,Library_Prague_Santos_Yushkov:Run_10008:Shower_1:Use_1,4003,517.1773941972792,-2.9146120050177413,38.09215283136329,17.507049245155446,8,235,1,-1,13.040676232403877,1,0,1,1.0,1.0,0
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run010.root,Library_Prague_Santos_Yushkov:Run_10008:Shower_1:Use_1,4007,553.4533716301676,0.5508063426248048,38.09215283136329,17.507049245155446,3,464,1,-1,8.094263507144523,1,0,1,1.0,1.0,0
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run010.root,Library_Prague_Santos_Yushkov:Run_10008:Shower_1:Use_1,4004,910.8897444533977,2.427599125658736,38.09215283136329,17.507049245155446,2,31,1,-1,2.5835842754893292,0,1,1,1.0,1.0,0
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run010.root,Library_Prague_Santos_Yushkov:Run_10008:Shower_1:Use_1,4017,1213.6669866264535,0.7748928879930931,38.09215283136329,17.507049245155446,1,27,1,-1,0.924490999864055,0,1,1,1.0,1.0,0
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run010.root,Library_Prague_Santos_Yushkov:Run_10008:Shower_1:Use_1,4019,780.8006076970688,-0.5728583109066642,38.09215283136329,17.507049245155446,0,128,1,-1,0.7413047433511667,0,1,1,1.0,1.0,0
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run010.root,Library_Prague_Santos_Yushkov:Run_10008:Shower_1:Use_1,4006,1042.8481450025652,1.2918873622319738,38.09215283136329,17.507049245155446,1,21,1,-1,0.7298290757432424,0,1,1,1.0,1.0,0
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run010.root,Library_Prague_Santos_Yushkov:Run_10008:Shower_1:Use_1,4018,1060.4720396129135,0.1288314411448769,38.09215283136329,17.507049245155446,0,45,1,-1,0.7220962240243555,0,1,1,1.0,1.0,0
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run010.root,Library_Prague_Santos_Yushkov:Run_10008:Shower_1:Use_1,4034,1605.8041625040496,0.44809290346759645,38.09215283136329,17.507049245155446,0,11,0,-1,,0,0,1,1.0,1.0,0
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run010.root,Library_Prague_Santos_Yushkov:Run_10008:Shower_1:Use_1,4035,1631.9124869494367,-0.010523922732503658,38.09215283136329,17.507049245155446,0,8,0,-1,,0,0,1,1.0,1.0,0
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run010.root,Library_Prague_Santos_Yushkov:Run_10008:Shower_1:Use_1,4036,1364.1325616657714,-0.4364401446893974,38.09215283136329,17.507049245155446,0,16,0,-1,,0,0,1,1.0,1.0,0
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run010.root,Library_Prague_Santos_Yushkov:Run_10008:Shower_1:Use_1,4037,1413.3686347525759,-0.9337059901674284,38.09215283136329,17.507049245155446,0,8,0,-1,,0,0,1,1.0,1.0,0
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run010.root,Library_Prague_Santos_Yushkov:Run_10008:Shower_1:Use_1,4020,1753.0752132255056,-1.3139701772399133,38.09215283136329,17.507049245155446,0,3,0,-1,,0,0,1,1.0,1.0,0
SIB23e_175_180_proton_MdSdInfill_CORSIKA78010_FLUKA_Run010.root,Library_Prague_Santos_Yushkov:Run_10008:Shower_1:Use_1,4005,1192.498763221713,1.8189537192502718,38.09215283136329,17.507049245155446,0,9,0,-1,,0,0,1,1.0,1.0,0
