lo,hi,quantity,sd,low,high,clusters,draws
300,600,all,0.006713106045708029,0.05547002193010928,0.0811603300310929,960,800
300,600,kept,0.006713106045708029,0.05547002193010928,0.0811603300310929,960,800
300,600,difference,0.0,0.0,0.0,960,800
650,950,all,0.007966417383336418,0.04531494085122146,0.07793369061505934,960,800
650,950,kept,0.0081509226839396,0.02275285860930328,0.0561132916668266,960,800
650,950,difference,0.0016278240866898369,-0.02546706107695891,-0.019079184441373766,960,800
1050,1400,all,0.009009391993949236,0.04936771324103399,0.08431665827556059,960,800
1050,1400,kept,0.01050685077775099,-0.11608601172932517,-0.07499488791908222,960,800
1050,1400,difference,0.008707439360639928,-0.17842389952078996,-0.14529253358863123,960,800
1400,1800,all,0.014107138214103216,0.030450172131165035,0.08550784350943659,960,800
1400,1800,kept,0.026535050839656498,-0.15230319285696434,-0.04705568130734079,960,800
1400,1800,difference,0.025185361191166777,-0.20928951079868377,-0.10940637500911751,960,800
