lo,hi,bin,n_all,n_kept,eff,mu_eff,mu_all,mu_kept,closure,EM_all,EM_kept
300,600,0,46,46,1.0,1.0,10.847826086956522,10.847826086956522,10.847826086956522,1218.391304347826,1218.391304347826
300,600,1,40,40,1.0,1.0,10.6,10.6,10.6,1442.85,1442.85
300,600,2,43,43,1.0,1.0,11.906976744186046,11.906976744186046,11.906976744186046,1731.8372093023256,1731.8372093023256
300,600,3,49,49,1.0,1.0,12.387755102040817,12.387755102040817,12.387755102040817,2308.4489795918366,2308.4489795918366
300,600,4,49,49,1.0,1.0,12.16326530612245,12.16326530612245,12.16326530612245,2563.877551020408,2563.877551020408
300,600,5,43,43,1.0,1.0,12.767441860465116,12.767441860465116,12.767441860465116,2833.093023255814,2833.093023255814
300,600,6,41,41,1.0,1.0,12.146341463414634,12.146341463414634,12.146341463414634,2621.5853658536585,2621.5853658536585
300,600,7,46,46,1.0,1.0,11.456521739130435,11.456521739130435,11.456521739130435,2502.586956521739,2502.586956521739
300,600,8,46,46,1.0,1.0,13.304347826086957,13.304347826086957,13.304347826086957,2550.695652173913,2550.695652173913
300,600,9,49,49,1.0,1.0,12.183673469387756,12.183673469387756,12.183673469387756,1725.3265306122448,1725.3265306122448
300,600,10,37,37,1.0,1.0,12.054054054054054,12.054054054054054,12.054054054054054,1390.5135135135135,1390.5135135135135
300,600,11,39,39,1.0,1.0,10.076923076923077,10.076923076923077,10.076923076923077,1327.179487179487,1327.179487179487
650,950,0,72,65,0.9027777777777778,0.972972972972973,2.5694444444444446,2.769230769230769,2.7692307692307696,120.84722222222223,129.41538461538462
650,950,1,64,61,0.953125,0.9728260869565217,2.875,2.9344262295081966,2.9344262295081966,169.5,176.37704918032787
650,950,2,82,79,0.9634146341463414,0.9901960784313726,2.4878048780487805,2.5569620253164556,2.5569620253164556,194.32926829268294,200.62025316455697
650,950,3,70,70,1.0,1.0,3.1857142857142855,3.1857142857142855,3.1857142857142855,294.75714285714287,294.75714285714287
650,950,4,73,73,1.0,1.0,3.0,3.0,3.0,296.2054794520548,296.2054794520548
650,950,5,70,70,1.0,1.0,2.7,2.7,2.7,311.1,311.1
650,950,6,72,72,1.0,1.0,2.9027777777777777,2.9027777777777777,2.9027777777777777,340.3888888888889,340.3888888888889
650,950,7,79,79,1.0,1.0,3.2911392405063293,3.2911392405063293,3.2911392405063293,341.36708860759495,341.36708860759495
650,950,8,76,76,1.0,1.0,3.3815789473684212,3.3815789473684212,3.3815789473684212,290.1578947368421,290.1578947368421
650,950,9,79,76,0.9620253164556962,0.9950738916256158,2.569620253164557,2.6578947368421053,2.657894736842105,191.56962025316454,196.4078947368421
650,950,10,82,77,0.9390243902439024,0.9776785714285714,2.731707317073171,2.844155844155844,2.8441558441558445,147.32926829268294,154.5064935064935
650,950,11,68,64,0.9411764705882353,0.9758454106280193,3.0441176470588234,3.15625,3.1562499999999996,134.2941176470588,139.921875
1050,1400,0,112,38,0.3392857142857143,0.5862068965517241,0.7767857142857143,1.3421052631578947,1.3421052631578947,18.625,27.105263157894736
1050,1400,1,124,36,0.2903225806451613,0.5252525252525253,0.7983870967741935,1.4444444444444444,1.4444444444444444,20.81451612903226,32.97222222222222
1050,1400,2,122,48,0.39344262295081966,0.7244897959183674,0.8032786885245902,1.4791666666666667,1.4791666666666667,29.008196721311474,40.729166666666664
1050,1400,3,122,51,0.4180327868852459,0.7864077669902912,0.8442622950819673,1.588235294117647,1.5882352941176472,37.65573770491803,49.64705882352941
1050,1400,4,116,56,0.4827586206896552,0.7865168539325843,0.7672413793103449,1.25,1.2500000000000002,47.11206896551724,64.60714285714286
1050,1400,5,122,61,0.5,0.7777777777777778,0.6639344262295082,1.0327868852459017,1.0327868852459017,50.49180327868852,67.57377049180327
1050,1400,6,109,54,0.4954128440366973,0.7875,0.7339449541284404,1.1666666666666667,1.1666666666666665,49.38532110091743,61.425925925925924
1050,1400,7,126,66,0.5238095238095238,0.8144329896907216,0.7698412698412699,1.196969696969697,1.1969696969696968,43.95238095238095,56.21212121212121
1050,1400,8,106,51,0.4811320754716981,0.7857142857142857,0.7924528301886793,1.2941176470588236,1.2941176470588234,39.79245283018868,50.8235294117647
1050,1400,9,113,46,0.40707964601769914,0.7043478260869566,1.0176991150442478,1.7608695652173914,1.7608695652173916,26.76991150442478,37.30434782608695
1050,1400,10,114,29,0.2543859649122807,0.45,0.7017543859649122,1.2413793103448276,1.2413793103448274,19.394736842105264,33.206896551724135
1050,1400,11,129,28,0.21705426356589147,0.48148148148148145,0.627906976744186,1.3928571428571428,1.3928571428571428,16.472868217054263,28.642857142857142
1400,1800,0,148,2,0.013513513513513514,0.1724137931034483,0.19594594594594594,2.5,2.5,4.047297297297297,8.0
1400,1800,1,157,6,0.03821656050955414,0.17777777777777778,0.28662420382165604,1.3333333333333333,1.3333333333333335,5.3630573248407645,10.833333333333334
1400,1800,2,166,5,0.030120481927710843,0.18421052631578946,0.2289156626506024,1.4,1.4,7.319277108433735,10.2
1400,1800,3,184,9,0.04891304347826087,0.18181818181818182,0.358695652173913,1.3333333333333333,1.3333333333333333,9.179347826086957,16.88888888888889
1400,1800,4,172,7,0.040697674418604654,0.16666666666666666,0.27906976744186046,1.1428571428571428,1.1428571428571428,11.331395348837209,20.0
1400,1800,5,145,9,0.06206896551724138,0.13157894736842105,0.2620689655172414,0.5555555555555556,0.5555555555555556,13.73103448275862,30.0
1400,1800,6,153,12,0.0784313725490196,0.3333333333333333,0.35294117647058826,1.5,1.5,12.915032679738562,22.416666666666668
1400,1800,7,150,11,0.07333333333333333,0.24489795918367346,0.32666666666666666,1.0909090909090908,1.0909090909090908,12.206666666666667,28.454545454545453
1400,1800,8,154,8,0.05194805194805195,0.12962962962962962,0.35064935064935066,0.875,0.875,10.636363636363637,17.5
1400,1800,9,160,6,0.0375,0.12244897959183673,0.30625,1.0,1.0,7.03125,14.166666666666666
1400,1800,10,152,4,0.02631578947368421,0.09523809523809523,0.27631578947368424,1.0,1.0000000000000002,4.953947368421052,12.75
