r [m],UMD (requiere SD REC),SD Electromagnetic — sólo MC,SD Electromagnetic — con SD REC,SD Muonic — sólo MC,SD Muonic — con SD REC,"SD Total Signal (VEM, sólo REC)"
150-300,0.06195703357848308,0.2816402547044693,0.2816402547044693,0.03314067926772304,0.03314067926772304,0.07421036966871224
300-450,0.09326190489875526,0.3799005726583408,0.3799005726583408,0.060169487768215575,0.060169487768215575,0.10983568250214555
450-600,0.08530058548149781,0.41334576379562066,0.41334576379562066,0.05882667183700323,0.05882667183700323,0.11027198395741389
600-750,0.11471848084273403,0.4614836931679459,0.46065535448892714,0.06045154880604943,0.05933147550314428,0.13063470450329104
750-900,0.11478070069984045,0.4631159850426803,0.44829455232221765,0.057560654443523464,0.040214430449355375,0.09710494783217667
900-1050,0.09409744760472037,0.493075986419404,0.4474117467516477,0.06601985701431823,-0.015799925637810266,0.053605514023955636
1050-1200,0.10566522795098855,0.5109699695875728,0.44366616719003804,0.06825525355183897,-0.06412207458189075,-0.01653445516498234
1200-1350,0.08159722792120955,0.5183162450958336,0.4478642662989377,0.06886682701219773,-0.12399013006585334,-0.09786356496154328
